001	FALSE	Enchanted	Gosalyn Mallard - The Quiverwing Quack 1/204 &raquo; Disney Lorcana Card Details + Review &raquo; Lorcana Player	Enchanted
002	FALSE	Enchanted	Monterey Jack - Watchful Ranger 2/204 &raquo; Disney Lorcana Card Details + Review &raquo; Lorcana Player	Enchanted
003	FALSE	Enchanted	Woody - Waiting for a Friend 3/204 &raquo; Disney Lorcana Card Details + Review &raquo; Lorcana Player	Enchanted
004	FALSE	Enchanted	Dale - Excited Friend 4/204 &raquo; Disney Lorcana Card Details + Review &raquo; Lorcana Player	Enchanted
005	FALSE	Enchanted	Pedro Madrigal - Family Patriarch 5/204 &raquo; Disney Lorcana Card Details + Review &raquo; Lorcana Player	Enchanted
006	FALSE	Enchanted	Agustin Madrigal - Exceptionally Kind 6/204 &raquo; Disney Lorcana Card Details + Review &raquo; Lorcana Player	Enchanted
007	FALSE	Enchanted	Alan-a-Dale - Loyal Bard 7/204 &raquo; Disney Lorcana Card Details + Review &raquo; Lorcana Player	Enchanted
008	FALSE	Enchanted	Prince Eric - Noble Swordsman 8/204 &raquo; Disney Lorcana Card Details + Review &raquo; Lorcana Player	Enchanted
009	FALSE	Enchanted	Dolores Madrigal - Hears Everything 9/204 &raquo; Disney Lorcana Card Details + Review &raquo; Lorcana Player	Enchanted
010	FALSE	Enchanted	Rex - Protective Dinosaur 10/204 &raquo; Disney Lorcana Card Details + Review &raquo; Lorcana Player	Enchanted
011	FALSE	Enchanted	Hamm - Piggy Bank 11/204 &raquo; Disney Lorcana Card Details + Review &raquo; Lorcana Player	Enchanted
012	FALSE	Enchanted	Monterey Jack - Hypnotized by Cheese 12/204 &raquo; Disney Lorcana Card Details + Review &raquo; Lorcana Player	Enchanted
013	FALSE	Enchanted	Bo Peep - Caring Shepherd 13/204 &raquo; Disney Lorcana Card Details + Review &raquo; Lorcana Player	Enchanted
014	FALSE	Enchanted	Chip - Retrieval Expert 14/204 &raquo; Disney Lorcana Card Details + Review &raquo; Lorcana Player	Enchanted
015	FALSE	Enchanted	Woody - Jungle Guide 15/204 &raquo; Disney Lorcana Card Details + Review &raquo; Lorcana Player	Enchanted
016	FALSE	Enchanted	Isabela Madrigal - Such a Lovely Voice 16/204 &raquo; Disney Lorcana Card Details + Review &raquo; Lorcana Player	Enchanted
017	FALSE	Enchanted	Bullseye - Loyal Horse 17/204 &raquo; Disney Lorcana Card Details + Review &raquo; Lorcana Player	Enchanted
018	FALSE	Enchanted	Ariel - Curious Traveler 18/204 &raquo; Disney Lorcana Card Details + Review &raquo; Lorcana Player	Enchanted
019	FALSE	Enchanted	Isabela Madrigal - Caring Cultivator 19/204 &raquo; Disney Lorcana Card Details + Review &raquo; Lorcana Player	Enchanted
020	FALSE	Enchanted	Jessie - Lively Cowgirl 20/204 &raquo; Disney Lorcana Card Details + Review &raquo; Lorcana Player	Enchanted
021	FALSE	Enchanted	Woody - Leader of the Toys 21/204 &raquo; Disney Lorcana Card Details + Review &raquo; Lorcana Player	Enchanted
022	FALSE	Enchanted	Dale - Ready for His Shot 22/204 &raquo; Disney Lorcana Card Details + Review &raquo; Lorcana Player	Enchanted
023	FALSE	Enchanted	The Prince - Searching for His Love 23/204 &raquo; Disney Lorcana Card Details + Review &raquo; Lorcana Player	Enchanted
024	FALSE	Enchanted	Julieta Madrigal - Caring Baker 24/204 &raquo; Disney Lorcana Card Details + Review &raquo; Lorcana Player	Enchanted
025	FALSE	Enchanted	Pluto - Vigilant Traveler 25/204 &raquo; Disney Lorcana Card Details + Review &raquo; Lorcana Player	Enchanted
026	FALSE	Enchanted	Mickey Mouse - Expedition Leader 26/204 &raquo; Disney Lorcana Card Details + Review &raquo; Lorcana Player	Enchanted
027	FALSE	Enchanted	Chip - Team Player 27/204 &raquo; Disney Lorcana Card Details + Review &raquo; Lorcana Player	Enchanted
028	FALSE	Enchanted	Ranger Team-Up 28/204 &raquo; Disney Lorcana Card Details + Review &raquo; Lorcana Player	Enchanted
029	FALSE	Enchanted	This Growing Pressure 29/204 &raquo; Disney Lorcana Card Details + Review &raquo; Lorcana Player	Enchanted
030	FALSE	Enchanted	You&#039;ve Got a Friend in Me 30/204 &raquo; Disney Lorcana Card Details + Review &raquo; Lorcana Player	Enchanted
2026	FALSE	Enchanted	Buzz Lightyear - Space Ranger - Movie Promo 57/P3 &raquo; Disney Lorcana Card Details + Review &raquo; Lorcana Player	Enchanted
227	FALSE	Enchanted	Luisa Madrigal - Confident Climber - Enchanted 227/204 &raquo; Disney Lorcana Card Details + Review &raquo; Lorcana Player	Enchanted
175	FALSE	Enchanted	Fergus - King of DunBroch 175/204 &raquo; Disney Lorcana Card Details + Review &raquo; Lorcana Player	Enchanted
