001,FALSE,FALSE,Gosalyn Mallard - The Quiverwing Quack 1/204 &raquo; Disney Lorcana Card Details + Review &raquo; Lorcana Player,Enchanted
002,FALSE,FALSE,Monterey Jack - Watchful Ranger 2/204 &raquo; Disney Lorcana Card Details + Review &raquo; Lorcana Player,Enchanted
003,FALSE,FALSE,Woody - Waiting for a Friend 3/204 &raquo; Disney Lorcana Card Details + Review &raquo; Lorcana Player,Enchanted
004,FALSE,FALSE,Dale - Excited Friend 4/204 &raquo; Disney Lorcana Card Details + Review &raquo; Lorcana Player,Enchanted
005,FALSE,FALSE,Pedro Madrigal - Family Patriarch 5/204 &raquo; Disney Lorcana Card Details + Review &raquo; Lorcana Player,Enchanted
006,FALSE,FALSE,Agustin Madrigal - Exceptionally Kind 6/204 &raquo; Disney Lorcana Card Details + Review &raquo; Lorcana Player,Enchanted
007,FALSE,FALSE,Alan-a-Dale - Loyal Bard 7/204 &raquo; Disney Lorcana Card Details + Review &raquo; Lorcana Player,Enchanted
008,FALSE,FALSE,Prince Eric - Noble Swordsman 8/204 &raquo; Disney Lorcana Card Details + Review &raquo; Lorcana Player,Enchanted
009,FALSE,FALSE,Dolores Madrigal - Hears Everything 9/204 &raquo; Disney Lorcana Card Details + Review &raquo; Lorcana Player,Enchanted
010,FALSE,FALSE,Rex - Protective Dinosaur 10/204 &raquo; Disney Lorcana Card Details + Review &raquo; Lorcana Player,Enchanted
011,FALSE,FALSE,Hamm - Piggy Bank 11/204 &raquo; Disney Lorcana Card Details + Review &raquo; Lorcana Player,Enchanted
012,FALSE,FALSE,Monterey Jack - Hypnotized by Cheese 12/204 &raquo; Disney Lorcana Card Details + Review &raquo; Lorcana Player,Enchanted
013,FALSE,FALSE,Bo Peep - Caring Shepherd 13/204 &raquo; Disney Lorcana Card Details + Review &raquo; Lorcana Player,Enchanted
014,FALSE,FALSE,Chip - Retrieval Expert 14/204 &raquo; Disney Lorcana Card Details + Review &raquo; Lorcana Player,Enchanted
015,FALSE,FALSE,Woody - Jungle Guide 15/204 &raquo; Disney Lorcana Card Details + Review &raquo; Lorcana Player,Enchanted
016,FALSE,FALSE,Isabela Madrigal - Such a Lovely Voice 16/204 &raquo; Disney Lorcana Card Details + Review &raquo; Lorcana Player,Enchanted
017,FALSE,FALSE,Bullseye - Loyal Horse 17/204 &raquo; Disney Lorcana Card Details + Review &raquo; Lorcana Player,Enchanted
018,FALSE,FALSE,Ariel - Curious Traveler 18/204 &raquo; Disney Lorcana Card Details + Review &raquo; Lorcana Player,Enchanted
019,FALSE,FALSE,Isabela Madrigal - Caring Cultivator 19/204 &raquo; Disney Lorcana Card Details + Review &raquo; Lorcana Player,Enchanted
020,FALSE,FALSE,Jessie - Lively Cowgirl 20/204 &raquo; Disney Lorcana Card Details + Review &raquo; Lorcana Player,Enchanted
021,FALSE,FALSE,Woody - Leader of the Toys 21/204 &raquo; Disney Lorcana Card Details + Review &raquo; Lorcana Player,Enchanted
022,FALSE,FALSE,Dale - Ready for His Shot 22/204 &raquo; Disney Lorcana Card Details + Review &raquo; Lorcana Player,Enchanted
023,FALSE,FALSE,The Prince - Searching for His Love 23/204 &raquo; Disney Lorcana Card Details + Review &raquo; Lorcana Player,Enchanted
024,FALSE,FALSE,Julieta Madrigal - Caring Baker 24/204 &raquo; Disney Lorcana Card Details + Review &raquo; Lorcana Player,Enchanted
025,FALSE,FALSE,Pluto - Vigilant Traveler 25/204 &raquo; Disney Lorcana Card Details + Review &raquo; Lorcana Player,Enchanted
026,FALSE,FALSE,Mickey Mouse - Expedition Leader 26/204 &raquo; Disney Lorcana Card Details + Review &raquo; Lorcana Player,Enchanted
027,FALSE,FALSE,Chip - Team Player 27/204 &raquo; Disney Lorcana Card Details + Review &raquo; Lorcana Player,Enchanted
028,FALSE,FALSE,Ranger Team-Up 28/204 &raquo; Disney Lorcana Card Details + Review &raquo; Lorcana Player,Enchanted
029,FALSE,FALSE,This Growing Pressure 29/204 &raquo; Disney Lorcana Card Details + Review &raquo; Lorcana Player,Enchanted
030,FALSE,FALSE,You&#039;ve Got a Friend in Me 30/204 &raquo; Disney Lorcana Card Details + Review &raquo; Lorcana Player,Enchanted
2026,FALSE,FALSE,Buzz Lightyear - Space Ranger - Movie Promo 57/P3 &raquo; Disney Lorcana Card Details + Review &raquo; Lorcana Player,Enchanted
227,FALSE,FALSE,Luisa Madrigal - Confident Climber - Enchanted 227/204 &raquo; Disney Lorcana Card Details + Review &raquo; Lorcana Player,Enchanted
175,FALSE,FALSE,Fergus - King of DunBroch 175/204 &raquo; Disney Lorcana Card Details + Review &raquo; Lorcana Player,Enchanted
